 first line of of the log 
1,start,92943.9,0, , 
1,start,328354,92943, , 
1,start,64404.1,2004413, , 
1,start,148870,2068817, , 
1,start,37179,3197569, , 
1,start,334373,3234747, , 
1,start,171002,4310150, , 
1,start,327964,4456209, , 
1,start,186178,5458208, , 
1,start,255942,5468264, , 
1,start,570995,6498604, , 
1,start,440852,6562926, , 
1,start,133606,7564503, , 
1,start,449127,7596812, , 
1,start,67447.9,8598380, , 
1,start,323225,8648073, , 
1,start,129906,9664334, , 
1,start,176316,9670799, , 
1,start,8940.98,10751087, , 
1,start,291708,10760027, , 
1,start,522061,12010108, , 
1,start,91981.5,12109188, , 
1,start,273455,13121424, , 
1,start,29898.8,13156420, , 
1,start,39941.2,14188263, , 
1,start,283000,14228204, , 
1,start,409304,15286585, , 
1,start,2911.39,15336664, , 
1,start,169560,16357092, , 
1,start,356493,16390942, , 
1,start,617742,17408607, , 
1,start,81522.9,17431549, , 
1,start,365550,18494193, , 
1,start,238531,18532998, , 
1,start,102702,19534584, , 
1,start,330388,19549465, , 
1,start,47623.2,20564768, , 
1,start,81061.3,20597639, , 
1,start,340882,21606684, , 
1,start,292148,21609496, , 
1,start,22653.7,22640730, , 
1,start,162565,22663383, , 
1,start,198643,23727041, , 
1,start,90746.3,23738106, , 
1,start,362039,24785559, , 
1,start,168318,25034823, , 
1,start,172301,25973783, , 
1,start,442863,26026016, , 
1,start,67857.1,27046755, , 
1,start,41420.1,27114612, , 
1,start,364611,28322195, , 
1,start,241780,28324025, , 
1,start,96558.1,29428016, , 
1,start,121959,29524574, , 
1,start,421020,30638780, , 
1,start,178383,30872714, , 
1,start,356251,31874731, , 
1,start,178519,31926795, , 
1,start,371198,32928389, , 
1,start,28613.8,32956634, , 
1,start,889209,33978780, , 
1,start,209723,34212488, , 
1,start,259595,35149059, , 
1,start,302002,35212998, , 
1,start,34444.1,36215023, , 
1,start,862460,36249467, , 
1,start,241112,37304507, , 
1,start,203143,37339667, , 
1,start,50409.8,38380245, , 
1,start,196908,38430654, , 
1,start,572661,39451653, , 
1,start,255580,39550735, , 
1,start,99066.1,40552321, , 
1,start,355640,40651387, , 
1,start,185959,41656618, , 
1,start,349467,41749409, , 
1,start,87354.7,42751003, , 
1,start,441365,42838357, , 
1,start,166755,43856014, , 
1,start,388777,43901661, , 
1,start,215909,44921112, , 
1,start,92187.7,45003062, , 
1,start,64619.6,46004656, , 
1,start,46169,46044993, , 
1,start,520564,47072038, , 
