obs,sim1,sim2
161596,79848,51052
162030,80010,51104
162410,80137,51129
162617,80227,51146
162675,80441,51150
163114,80641,51187
164612,80743,51199
165128,81137,51469
165152,81419,51497
165255,81463,51525
165638,81463,51659
165900,81590,51664
165982,81821,51807
166081,82168,52000
166408,82248,52192
166409,82319,52196
166434,82347,52343
166552,82748,52349
166552,82908,52417
167483,82925,52560
168679,83072,52591
168713,83112,52613
168786,83155,52701
168807,83196,52706
168825,83206,52730
169031,83452,52764
169225,83569,53288
169352,83948,53303
169605,84049,53346
169896,84079,53355
169930,84079,53599
170153,84081,53630
170222,84555,53857
170598,84761,53921
170676,84780,54228
170892,84799,54291
171134,84815,54395
171770,84851,54398
171953,84891,54400
172126,84891,54573
172382,85171,54622
172401,85317,54905
172528,85357,54970
172646,85622,55104
173156,85780,55144
173906,86072,55191
173935,86121,55196
174147,86399,55270
174153,86630,55392
174280,86646,55510
174792,86770,55516
174925,87215,55602
175141,87358,55693
175553,87472,55711
175609,87628,55724
175819,87978,55725
177365,88332,55732
177432,88525,55947
177596,88535,55965
177730,88620,56066
177971,88692,56114
178717,88730,56445
179295,88836,56633
179765,88995,56715
179901,89185,56770
180108,89197,56940
181008,89256,56942
181299,89385,56965
181636,89463,57083
181756,89598,57138
181942,89606,57300
182060,89643,57354
182184,89714,57538
182422,89973,57636
182563,89992,57654
182587,90022,57826
182670,90049,57868
182969,90079,58095
183803,90317,58323
183947,90539,58363
184478,90674,58400
184525,90924,58586
184863,91193,58617
185138,91193,58652
185152,91204,58739
185944,91313,58904
185964,91495,59115
186029,91622,59300
186064,91622,59401
186155,91726,59507
186311,91770,59585
186868,91784,59662
187820,91808,59702
187888,91940,59824
187975,91968,59964
188198,92058,59986
188396,92062,60000
188432,92299,60194
189467,92414,60364
189681,92429,60392
190146,92584,60685
190321,92749,60735
190809,92792,60800
190836,92804,60824
190904,92812,61006
190976,93169,61099
191159,93278,61113
191633,93327,61204
192940,93639,61310
192947,93821,61321
193068,93863,61332
193499,93920,61416
193823,93974,61505
193903,94097,61681
193957,94305,61746
194105,94305,61881
194634,94305,61954
195039,94305,62016
195241,94713,62097
195263,94915,62139
195332,95043,62292
196090,95051,62323
196286,95060,62428
197578,95283,62487
197749,95480,62665
197892,95484,62684
199360,95693,62711
199477,95904,62758
200078,96020,62835
200204,96253,62905
200338,96332,62970
200399,96887,63027
200783,97198,63174
200828,97348,63235
200853,97499,63253
201138,97558,63486
201507,97582,63603
201582,97592,63629
201930,97600,63774
201968,97606,63825
202079,97632,64030
202463,97702,64124
203155,97702,64160
203489,97702,64220
203546,97951,64255
203704,97952,64257
203709,98125,64308
204085,98127,64486
204122,98373,64491
204370,98570,64583
204383,98570,64611
204487,98861,64676
204780,98897,64815
204835,98944,64819
205172,99000,64925
205237,99167,65023
205265,99181,65357
205742,99201,65369
206136,99330,65418
206165,99525,65641
206570,99628,65658
206678,99840,65838
206699,99912,65842
206762,99932,65852
207526,100207,65947
207887,100795,66107
208257,100881,66399
208716,100941,66438
209027,101152,66495
209186,101153,66568
209402,101227,66595
209688,101374,66659
210349,101374,66679
210525,101964,66770
210544,101985,66778
210979,102062,66876
211083,102167,66917
211570,102279,67513
211945,102409,67581
212204,102925,67705
212225,102984,67799
212516,102998,67814
213035,103083,68000
213275,103148,68017
213371,103277,68182
213746,103277,68282
214031,103583,68311
214223,103706,68354
214320,103706,68449
214905,103795,68634
215691,103879,68925
215793,103888,69016
215835,103985,69053
216090,103993,69158
216838,104008,69636
216998,104104,69735
217082,104104,70002
217297,104426,70033
217662,104522,70093
217951,104715,70188
218071,104851,70190
218302,105172,70258
218522,105418,70385
218542,105487,70567
218552,105583,70621
218736,105603,70934
218920,105759,70971
218957,105932,71198
219279,106324,71362
219389,106471,71574
219434,106491,71576
219562,107351,71746
219586,107458,71757
220722,107631,71841
220953,107802,71848
221634,108377,72071
222170,108465,72097
222177,108485,72276
222550,108485,72301
222626,108574,72421
222681,108670,72510
223161,108800,72582
223614,108940,72772
223642,109056,73013
223677,109141,73058
223681,109290,73104
223814,109351,73205
223963,109543,73397
225301,109804,73460
225377,110168,73665
225645,110307,73743
225853,111120,73783
225944,111390,73983
226010,111456,74002
226421,111496,74179
226435,111648,74184
226514,112529,74462
226787,112729,74608
226948,112960,74781
227050,113042,74787
227583,113470,74798
227648,113593,74850
227667,113601,75122
227699,113601,75314
227766,113615,75480
228018,113908,75511
228433,114317,75600
228929,114468,75990
229095,114601,75998
229152,114784,76003
229758,115626,76045
229821,115627,76353
230004,115993,76467
230425,116131,76594
230665,116175,76697
230791,116424,76985
230963,116430,77003
231659,116924,77003
231836,117127,77038
231950,117131,77075
232130,117419,77622
232246,117916,77671
233101,118129,78154
233325,118171,78276
233421,118171,78400
233507,118264,78518
234071,118265,78584
234379,118266,78710
234551,118394,78920
234815,118797,79155
235004,118876,79200
235189,119011,79200
235608,119059,79200
235678,119266,79200
236212,119275,79200
236272,119682,79200
236695,119709,79239
237276,119728,79368
237575,119998,79445
237844,120023,79905
238008,120298,79908
238066,120740,79999
238096,120816,79999
238152,121518,79999
238192,121605,79999
238215,121615,79999
238658,122024,79999
238887,122025,79999
239543,122389,79999
239920,122466,79999
240011,122756,79999
240266,122765,79999
240272,123084,79999
240425,123189,79999
240451,123204,80035
240528,123218,80038
240659,123320,80564
240728,124787,80800
241469,125061,81110
241636,125076,81597
241786,125087,81658
241904,125764,81825
242069,126141,81828
242564,126514,81844
242661,126514,81978
242921,126620,82177
243759,126815,82345
244230,126863,82909
244380,127595,83002
244393,127666,83165
244405,127946,83327
244995,128093,83351
245288,128205,83364
246713,128761,83440
246838,129162,83768
247323,129484,84272
247555,129561,84296
247873,129600,84430
247931,130170,84676
248167,130228,84694
248481,130301,84851
248967,130562,84976
249241,130877,85181
249346,130929,85451
249369,131105,85562
249743,131105,85697
251057,131200,85833
252362,131331,86048
252591,131536,86321
254198,131552,86356
254275,131641,86387
254530,132095,86400
254718,132121,86400
254750,132281,87381
254925,132330,87766
255003,132577,87948
256579,132883,88260
256720,133771,88880
257265,133774,89007
257505,134533,89023
257670,134734,89219
259052,134897,89366
259178,135053,89431
259513,135285,89437
259553,135507,89444
259972,135988,89460
260336,137069,89676
260528,137346,90288
261185,137465,90484
261623,137519,90559
262089,137590,90585
262319,137590,91202
262536,137596,91509
262587,137610,92383
262784,137781,92547
263963,137902,92810
264125,138027,93038
264543,138312,93220
265281,138478,93392
265983,138478,93456
267004,138560,93529
267090,138609,93919
267215,139189,94113
267371,139295,94223
267791,139649,94402
268230,139921,94452
268294,140688,94770
268360,140797,95086
268416,140800,95264
269034,141285,95350
269216,141514,95351
269380,141760,95384
269658,142001,95522
270026,142520,95837
270310,142773,95930
270874,142915,96498
271837,143990,97163
272658,144428,98449
272877,144884,98580
272903,145286,98616
273023,145590,99073
273739,145599,99461
273883,145866,99831
274013,145874,99843
274630,146028,100006
274900,146343,100031
274967,146604,100572
275135,146744,100802
275967,147203,101003
276168,147209,101236
276370,147209,101299
277264,147209,101561
278080,147741,101630
278433,148296,101963
278927,148368,102198
278946,148368,102589
278960,148817,103318
280642,148890,103482
280665,149109,104288
281255,149227,104296
281417,149250,105584
281545,149390,106072
281711,149516,106170
283655,150396,106203
284330,150474,106504
284516,150486,106509
285198,150738,106651
285676,152002,106959
286842,152019,107180
287448,153322,107676
290325,153694,107702
290633,155065,107833
290641,155169,108113
291162,155293,108115
291935,155625,108224
292041,156229,108360
292286,156268,108716
292621,156490,108801
294215,156668,108949
294837,156850,109125
294859,157327,109551
295848,157618,109726
297724,157975,110347
297902,158400,110904
298285,158400,111596
299664,158400,111715
301472,158400,112132
301513,158400,112416
301583,158521,112423
301963,159690,113206
302183,160000,113692
302328,160000,114116
303471,160000,115047
304161,160000,115155
304549,160000,115576
304681,160000,115625
305198,160000,116072
306747,160000,116495
306956,160000,117242
307099,160000,117257
307138,160000,117416
307717,161343,118067
309656,161600,119124
309666,161600,119460
310383,161965,119603
310967,164423,119871
311618,166397,120547
311840,167575,122014
312103,171059,122400
312198,172447,123277
313343,172791,124121
313637,174360,124513
313645,174390,124862
313733,175268,125185
313962,177308,125297
315135,177745,125405
316132,178191,125628
317364,178540,128864
318167,180646,129376
319381,180695,129600
320076,181809,130455
321034,182390,130581
322249,184094,131027
324581,184850,131202
325796,186276,131255
325995,187280,131404
326029,188801,131481
326566,189336,133629
327250,189807,133878
327456,189937,134044
328639,190400,135399
331601,190401,135431
333065,192152,135645
333942,194553,136338
335605,194777,137014
336171,194904,138773
338897,195179,140596
338975,200718,140602
339506,200771,140777
339782,201043,140780
340018,201176,141556
340427,201653,142350
340711,202743,143657
340928,203438,144730
341585,203624,146612
342250,204151,147276
344365,205297,147367
345319,208880,147403
347083,209591,147462
348393,209591,147545
348757,210671,147688
348789,213495,147713
349242,213910,147863
350632,215896,147931
350717,223141,148359
351110,224335,148882
351137,225199,149363
351263,226658,150484
352140,228140,152640
352776,228668,154764
353217,228903,156071
354532,230401,156248
354754,231578,156386
355554,231578,158473
356075,231870,158519
359611,233598,158982
360953,233600,159475
361436,233600,160548
361890,234507,161000
363515,235379,162281
365860,236932,163474
365927,237328,166399
366414,239394,170640
