obs,individual
211945,102409
212204,102925
212225,102984
212516,102998
213035,103083
213275,103148
213371,103277
213746,103277
214031,103583
214223,103706
214320,103706
214905,103795
215691,103879
215793,103888
215835,103985
216090,103993
216838,104008
216998,104104
217082,104104
217297,104426
217662,104522
217951,104715
218071,104851
218302,105172
218522,105418
218542,105487
218552,105583
218736,105603
218920,105759
218957,105932
219279,106324
219389,106471
219434,106491
219562,107351
219586,107458
220722,107631
220953,107802
221634,108377
222170,108465
222177,108485
222550,108485
222626,108574
222681,108670
223161,108800
223614,108940
223642,109056
223677,109141
223681,109290
223814,109351
223963,109543
225301,109804
225377,110168
225645,110307
225853,111120
225944,111390
226010,111456
226421,111496
226435,111648
226514,112529
226787,112729
226948,112960
227050,113042
227583,113470
227648,113593
227667,113601
227699,113601
227766,113615
228018,113908
228433,114317
228929,114468
229095,114601
229152,114784
229758,115626
229821,115627
230004,115993
230425,116131
230665,116175
230791,116424
230963,116430
231659,116924
231836,117127
231950,117131
232130,117419
232246,117916
233101,118129
233325,118171
233421,118171
233507,118264
234071,118265
234379,118266
234551,118394
234815,118797
235004,118876
235189,119011
235608,119059
235678,119266
236212,119275
236272,119682
236695,119709
237276,119728
237575,119998
237844,120023
238008,120298
238066,120740
238096,120816
238152,121518
238192,121605
238215,121615
238658,122024
238887,122025
239543,122389
239920,122466
240011,122756
240266,122765
240272,123084
240425,123189
240451,123204
240528,123218
240659,123320
240728,124787
241469,125061
241636,125076
241786,125087
241904,125764
242069,126141
242564,126514
242661,126514
242921,126620
243759,126815
244230,126863
244380,127595
244393,127666
244405,127946
244995,128093
245288,128205
246713,128761
246838,129162
247323,129484
247555,129561
247873,129600
247931,130170
248167,130228
248481,130301
248967,130562
249241,130877
249346,130929
249369,131105
249743,131105
251057,131200
252362,131331
252591,131536
254198,131552
254275,131641
254530,132095
254718,132121
254750,132281
254925,132330
255003,132577
256579,132883
256720,133771
257265,133774
257505,134533
257670,134734
259052,134897
259178,135053
259513,135285
259553,135507
259972,135988
260336,137069
260528,137346
261185,137465
261623,137519
262089,137590
262319,137590
262536,137596
262587,137610
262784,137781
263963,137902
264125,138027
264543,138312
265281,138478
265983,138478
267004,138560
267090,138609
267215,139189
267371,139295
267791,139649
268230,139921
268294,140688
268360,140797
268416,140800
269034,141285
269216,141514
269380,141760
269658,142001
270026,142520
270310,142773
270874,142915
271837,143990
272658,144428
272877,144884
272903,145286
273023,145590
273739,145599
273883,145866
274013,145874
274630,146028
274900,146343
274967,146604
275135,146744
275967,147203
276168,147209
276370,147209
277264,147209
278080,147741
278433,148296
278927,148368
278946,148368
278960,148817
280642,148890
280665,149109
281255,149227
281417,149250
281545,149390
281711,149516
283655,150396
284330,150474
284516,150486
285198,150738
285676,152002
286842,152019
287448,153322
290325,153694
290633,155065
290641,155169
291162,155293
291935,155625
292041,156229
292286,156268
292621,156490
294215,156668
294837,156850
294859,157327
295848,157618
297724,157975
297902,158400
298285,158400
299664,158400
301472,158400
301513,158400
301583,158521
301963,159690
302183,160000
302328,160000
303471,160000
304161,160000
304549,160000
304681,160000
305198,160000
306747,160000
306956,160000
307099,160000
307138,160000
307717,161343
309656,161600
309666,161600
310383,161965
310967,164423
311618,166397
311840,167575
312103,171059
312198,172447
313343,172791
313637,174360
313645,174390
313733,175268
313962,177308
315135,177745
316132,178191
317364,178540
318167,180646
319381,180695
320076,181809
321034,182390
322249,184094
324581,184850
325796,186276
325995,187280
326029,188801
326566,189336
327250,189807
327456,189937
328639,190400
331601,190401
333065,192152
333942,194553
335605,194777
336171,194904
338897,195179
338975,200718
339506,200771
339782,201043
340018,201176
340427,201653
340711,202743
