simulated,observed
1073064,1034552
1073174,1035933
1076737,1038121
1076872,1038866
1077041,1039699
1077630,1040114
1078465,1040174
1079546,1041971
1081078,1042413
1085273,1042574
1085524,1043928
1088302,1044665
1088764,1045351
1089743,1045951
1091852,1047929
1093217,1048076
1093442,1048460
1099727,1049080
1100051,1049316
1100511,1049381
1100788,1049844
1101011,1056492
1101405,1058134
1105616,1058995
1106649,1059242
1106822,1059296
1108494,1060083
1111015,1060307
1111160,1064056
1116752,1065602
1117720,1066218
1117738,1066754
1118252,1067005
1119388,1068938
1120249,1070744
1121160,1071077
1121938,1074431
1122877,1075552
1122920,1075856
1124591,1075897
1125722,1077002
1127101,1078430
1127570,1079795
1128964,1080827
1130745,1082305
1130836,1083179
1132855,1085928
1135733,1088555
1142583,1088686
1148497,1089593
1149523,1091653
1152595,1092421
1153181,1093265
1153802,1094690
1153953,1094764
1154709,1094768
1155765,1095824
1156827,1095982
1156832,1097067
1157266,1101398
1159537,1102865
1164486,1103784
1165028,1103936
1165343,1104882
1167075,1105730
1170559,1105893
1172486,1105902
1173318,1106030
1174509,1107552
1177404,1107918
1177932,1108603
1180975,1112783
1181210,1113545
1181770,1114374
1184847,1114507
1185501,1115026
1185784,1115765
1188324,1116326
1189985,1117060
1191920,1117209
1193914,1118658
1198056,1119043
1202399,1120789
1204483,1121011
1204665,1121246
1205107,1121649
1206507,1121897
1209392,1122009
1210710,1123048
1212045,1125455
1212094,1127516
1212615,1128174
1214409,1129214
1219863,1130406
1220694,1131429
1224901,1131608
1225833,1137627
1226016,1137866
1227183,1138307
1228169,1142639
1228457,1145085
1228468,1145614
1229131,1146922
1233977,1148244
1237267,1148898
1237987,1151640
1239085,1152155
1241329,1153097
1245763,1153454
1245850,1153843
1247988,1154200
1248223,1154992
1250452,1156811
1251061,1157533
1253228,1158696
1253474,1158966
1258510,1159919
1260372,1160776
1261141,1162293
1262378,1164569
1264772,1164700
1267496,1165620
1267738,1166566
1268327,1169172
1270933,1171330
1271014,1171556
1271082,1172987
1273108,1174811
1275825,1175852
1276320,1177274
1276543,1177533
1277242,1180457
1277544,1180716
1280239,1181176
1285097,1181525
1291461,1183815
1292680,1184800
1296659,1185578
1297362,1186880
1301478,1187985
1304381,1189237
1307586,1189287
1308626,1190217
1308746,1191035
1312697,1193044
1313306,1193988
1313383,1194324
1314256,1196132
1317963,1197415
1319810,1199858
1325403,1200347
1333176,1201150
1334533,1201252
1334697,1202212
1336461,1203213
1337580,1203789
1346698,1203882
1347531,1204226
1348896,1204431
1356380,1206161
1357893,1206163
1358096,1206906
1359453,1211560
1360801,1212901
1362755,1213587
1364377,1216334
1368865,1217162
1369078,1218357
1371633,1220527
1372064,1221798
1373208,1223066
1377842,1224127
1378329,1226209
1379302,1227512
1380306,1228280
1382256,1230625
1388253,1234419
1389212,1235300
1389273,1235804
1389735,1236446
1390806,1239812
1390904,1240050
1392026,1242198
1392411,1246072
1400538,1246132
1405796,1246790
1408944,1251776
1409118,1252581
1412182,1252817
1412388,1253752
1412593,1253885
1416827,1261704
1421537,1263366
1424437,1264470
1426203,1264483
1429485,1265229
1436937,1267162
1438474,1267579
1440814,1270165
1441031,1270257
1442378,1270470
1443948,1270477
1444354,1270659
1445177,1270746
1445566,1276447
1451054,1280970
1455110,1282667
1455403,1283605
1458264,1284121
1460124,1289123
1460633,1289797
1461457,1290368
1462796,1291361
1466986,1295217
1470271,1296038
1476012,1297421
1476555,1297606
1479265,1298383
1481375,1300084
1483673,1300928
1488189,1302237
1493602,1304414
1496440,1304700
1501823,1305908
1505576,1306826
1508399,1307090
1512313,1308004
1515215,1308597
1518773,1311283
1520034,1312861
1525626,1315809
1528434,1315946
1531927,1321415
1535778,1323364
1537859,1324972
1538279,1325874
1544084,1328441
1546276,1328900
1548251,1328930
1550555,1330644
1550911,1334045
1552218,1334367
1554535,1334788
1556030,1336223
1556710,1337057
1557325,1340156
1562890,1340475
1564738,1341146
1565733,1342513
1569389,1345819
1577141,1346390
1580891,1349051
1583912,1350618
1587212,1351812
1595984,1353138
1604560,1353759
1605500,1356601
1610580,1359258
1616404,1362150
1623369,1363986
1624822,1370148
1648737,1372812
1651735,1374582
1653965,1376832
1655817,1387521
1659951,1391051
1661867,1391551
1662565,1395030
1663930,1398677
1664258,1400067
1670060,1400815
1670387,1401966
1674577,1402263
1674951,1402280
1676743,1402704
1676803,1405724
1677416,1405726
1680495,1406006
1680730,1409026
1681776,1411765
1683626,1414584
1689459,1421586
1690086,1421963
1691655,1424121
1691789,1430526
1694495,1431466
1695751,1432128
1695889,1445347
1696833,1446608
1714243,1447025
1717473,1449420
1718280,1449506
1719395,1450013
1723692,1452893
1724738,1456213
1725045,1456571
1737150,1456622
1746274,1457438
1748315,1458478
1749094,1458762
1754555,1459763
1756214,1461529
1762276,1461722
1764024,1463129
1779272,1463422
1780700,1464694
1788360,1467770
1788689,1467888
1795560,1468893
1807919,1470095
1815927,1472880
1818866,1473499
1819644,1473772
1823022,1479242
1823610,1482577
1827447,1483376
1845888,1500766
1850440,1505215
1861223,1506193
1862492,1508346
1868423,1508482
1869860,1509504
1872770,1516285
1874338,1522225
1877868,1527633
1892818,1540781
1894774,1541278
1894783,1542003
1902613,1542043
1909442,1549401
1910198,1549548
1910379,1549874
1915248,1550024
1918287,1551233
1940113,1553967
1958144,1555623
1958385,1562364
1965494,1563597
1968270,1565191
1970755,1566656
1971222,1576052
1973536,1577380
1980038,1577997
1985954,1593481
2001920,1595353
2008470,1601679
2011629,1604464
2017831,1607279
2028442,1607714
2032831,1619246
2036460,1620073
2042898,1624299
2042951,1626309
2044222,1628767
2047105,1630017
2048261,1633356
2049201,1640875
2057423,1656656
2071996,1657214
2075545,1663487
2079975,1665912
2080584,1674910
2085411,1677843
2085964,1679172
2096196,1687002
2097082,1687345
2100349,1687460
2103719,1694894
2112199,1697917
2129479,1700977
2131095,1703667
2131989,1711351
2135700,1712264
2143387,1720697
2147926,1722160
2151497,1727491
2159560,1734461
2162259,1740178
2197278,1743263
2200659,1751417
2206962,1751849
2214409,1752072
2222080,1757958
2238584,1767021
2244431,1772902
2258404,1773963
2281673,1782633
2285094,1792028
2300848,1794664
2324885,1799272
2327680,1812880
2329984,1830316
2333285,1839999
2342794,1840370
2343442,1844684
2369141,1858625
2371091,1867028
2375835,1872483
2384810,1881324
2422020,1881786
2439124,1888300
2454736,1901812
2463976,1905453
2467840,1910599
2474303,1917123
2494835,1921301
2516232,1922210
2525424,1923059
2529787,1924830
2532244,1925962
2537960,1930361
2547805,1933593
2556897,1939959
2573055,1967837
2577923,1973347
2579034,1975398
2583796,1976751
2603510,1977186
2603674,1978333
2640970,1987086
2645097,2011078
