observed,simulated
1640079,1281514
1644999,1285455
1646614,1286256
1647584,1287160
1650073,1287481
1650178,1288907
1651507,1289196
1652588,1289751
1653132,1290203
1654768,1292789
1655743,1293001
1657249,1295603
1657776,1299334
1659230,1301636
1659854,1303329
1661341,1303881
1662439,1304482
1665141,1304623
1665445,1305778
1665686,1305841
1666377,1306431
1666541,1306904
1667541,1307047
1669822,1307264
1670715,1309069
1671456,1309534
1673356,1310701
1675390,1310904
1677512,1311114
1678016,1313488
1678112,1315691
1678485,1316945
1681989,1317704
1685754,1317813
1686477,1317827
1686636,1320152
1686799,1321230
1687554,1321426
1689528,1322823
1691217,1324082
1691678,1330528
1691692,1331191
1692045,1334978
1692230,1337005
1692904,1337411
1693582,1338295
1694037,1342601
1694786,1344859
1698185,1346289
1698410,1346857
1698471,1347243
1700240,1351137
1704000,1353161
1706228,1360029
1706343,1363430
1706439,1363464
1706631,1365453
1706710,1365635
1706840,1367342
1707272,1367968
1708087,1370784
1708500,1372642
1709260,1375982
1709735,1377704
1711848,1377944
1712316,1381623
1713720,1381759
1716328,1384992
1716943,1385531
1717900,1388460
1718814,1394854
1721674,1396201
1721826,1399597
1722416,1400120
1722678,1401985
1723459,1402602
1725050,1404156
1725955,1406607
1726491,1409580
1727177,1410439
1727444,1410726
1727572,1410891
1728290,1412784
1728689,1413709
1729974,1415759
1731963,1418075
1732658,1418537
1733309,1419855
1737601,1420831
1739592,1421368
1739659,1421708
1740615,1423962
1741736,1428729
1741849,1429448
1741891,1430650
1743916,1432112
1744540,1434254
1745074,1438192
1748224,1438781
1754983,1439995
1755034,1441811
1755363,1441995
1756196,1449165
1756497,1449745
1756555,1452552
1756578,1458201
1758508,1461499
1759769,1463917
1760140,1464321
1761422,1464328
1761806,1464737
1764622,1466279
1766277,1468375
1766934,1468992
1768208,1469803
1768565,1470821
1770111,1471189
1772034,1471494
1772247,1472545
1773075,1472953
1773762,1474626
1775915,1479535
1777541,1479967
1779654,1482030
1781162,1483546
1785910,1490153
1787560,1491071
1790752,1492305
1791311,1492571
1792900,1495265
1793460,1495529
1794197,1496714
1796416,1499440
1798621,1499447
1802722,1499505
1802801,1503964
1804271,1504822
1804941,1506028
1807582,1507508
1808388,1508112
1808919,1509349
1809808,1519127
1810419,1522682
1810749,1522966
1810901,1524730
1810942,1529818
1811614,1529822
1813380,1531579
1820335,1531676
1820591,1532830
1820806,1533897
1821091,1536992
1822767,1538731
1824208,1544000
1824938,1548294
1825718,1551061
1826782,1552145
1827122,1552544
1828467,1552911
1829641,1556608
1829720,1561635
1830324,1562671
1830906,1563565
1832932,1566290
1834035,1567027
1836876,1568245
1842106,1572717
1844982,1573140
1845005,1580169
1845224,1581768
1848989,1582686
1849703,1584935
1850900,1588886
1853124,1588976
1853445,1590305
1854718,1593069
1855628,1593983
1861447,1595828
1864472,1600404
1865077,1602150
1865311,1602358
1867063,1603371
1869282,1605525
1869833,1606911
1871420,1607562
1872616,1608892
1873600,1614985
1876647,1615501
1879164,1617095
1881411,1622816
1886735,1623178
1887906,1627097
1888607,1627577
1889329,1630757
1889973,1631699
1890703,1631823
1891557,1633293
1896359,1637743
1897642,1639302
1898695,1641487
1899547,1647374
1901821,1650795
1902334,1652301
1902469,1655796
1903845,1656089
1904095,1660404
1905481,1664399
1906747,1665495
1907343,1672727
1909400,1674703
1912973,1675676
1913141,1677487
1913398,1684287
1913807,1690752
1913863,1692096
1914394,1699173
1914735,1699401
1915467,1699496
1916301,1700808
1918255,1701261
1920990,1710847
1923188,1711097
1925088,1712666
1927898,1715551
1927978,1716711
1932096,1722615
1932811,1726324
1937205,1729209
1937467,1729832
1940732,1731649
1943106,1731914
1944067,1733516
1944472,1737544
1945763,1744220
1946662,1744650
1946792,1749100
1948984,1751803
1949431,1754423
1950949,1759554
1951456,1762060
1952876,1762097
1953463,1769222
1955298,1769593
1958106,1771370
1961194,1771639
1962703,1772020
1963503,1772759
1963758,1774374
1965380,1777837
1966122,1780775
1966481,1781725
1970585,1784395
1971394,1786200
1971797,1789404
1976254,1792156
1978857,1798725
1979437,1801390
1979902,1808730
1986456,1819251
1987103,1819280
1987404,1822591
1987997,1827547
1988196,1830632
1988621,1836836
1989099,1847096
1994560,1851545
1994941,1853095
1994950,1855149
1995105,1858880
1995316,1863530
1995348,1865500
1996029,1867824
1997002,1868123
2000929,1869583
2002490,1869841
2005741,1871345
2013625,1873705
2017397,1877992
2018477,1879141
2021377,1881524
2021539,1883646
2022364,1884215
2022466,1885812
2022833,1895559
2024805,1899065
2025294,1899547
2026762,1900788
2027317,1901409
2028579,1904313
2029168,1908039
2032335,1915352
2033835,1915929
2034159,1918376
2037443,1921330
2040814,1921956
2041058,1934344
2042506,1936173
2042675,1939083
2043804,1940570
2044276,1945333
2045262,1946301
2047387,1947866
2050428,1950529
2052615,1953608
2055619,1957011
2055924,1958268
2061343,1959235
2062931,1962837
2064340,1963015
2066865,1965032
2075733,1972037
2075888,1981809
2079421,1984138
2080259,1999408
2086408,2000939
2087589,2002327
2090197,2004942
2094837,2005909
2097440,2007363
2102045,2007993
2102062,2016346
2103757,2019624
2107389,2027775
2107968,2027963
2108148,2028271
2111704,2029117
2113727,2029603
2114823,2029959
2115121,2038925
2117458,2039326
2120280,2047195
2123980,2050230
2130028,2056158
2132253,2064970
2132657,2074213
2134066,2079935
2135095,2082657
2135532,2082871
2135708,2084429
2136206,2085806
2136773,2088492
2137972,2091200
2141788,2092452
2141990,2094716
2143762,2098240
2146217,2101249
2146533,2105436
2152430,2115863
2154742,2116387
2154948,2118507
2160498,2131283
2160498,2136617
2161561,2140845
2162588,2143333
2174159,2144978
2177029,2146992
2181789,2151882
2183815,2152442
2184361,2153217
2187980,2156521
2189738,2159971
2192563,2160745
2194462,2173463
2197000,2176786
2198414,2180192
2199028,2181475
2200859,2183020
2206317,2183027
2207018,2183166
2207639,2192216
2208248,2207094
2209358,2212093
2210629,2214130
2210754,2214895
2211804,2222553
2216198,2226248
2216554,2240551
2228118,2241809
2228384,2246344
2228651,2249479
2231343,2254139
2233108,2255667
2246934,2261158
2252210,2264204
2253306,2272182
2254825,2273669
2260209,2276529
2260800,2279205
2261131,2282649
2262475,2289050
2262701,2292016
2269914,2294755
2274224,2298350
2278897,2303785
2282355,2307078
2285286,2310814
2285435,2325092
2287368,2330678
2289895,2344412
2290342,2350324
2290389,2366267
2291506,2367308
2296615,2369608
2301771,2377033
2302055,2384192
2305311,2384891
2329896,2388165
2330857,2391873
2332816,2392431
2334812,2393113
2336986,2398851
2339948,2402630
2340089,2405127
2341175,2423361
2353542,2434380
2353855,2435374
2356388,2444997
2359410,2448427
2371510,2449415
2381852,2453323
2383457,2454194
2385017,2456262
2389841,2458664
2389955,2461538
2402355,2464199
2402446,2470466
2406708,2471982
2409964,2476922
2412770,2496169
2416420,2500253
2425497,2507160
2431972,2508429
2440683,2509585
2456979,2510007
2457271,2517963
2464312,2519559
2472632,2527478
2475077,2530200
2482132,2539487
2488739,2541647
2489459,2564169
2491626,2566159
2495964,2580242
2522524,2589643
2529038,2595714
2530258,2601729
2531945,2602038
2539505,2620363
2540555,2636069
2540780,2641566
2552655,2645032
2569100,2652234
2575150,2674985
2575597,2677265
2575668,2685304
2591915,2691412
2594415,2697689
2599960,2701361
2607294,2720347
2614289,2735186
2619702,2751568
2630211,2756191
2630515,2760702
2635547,2761076
2640050,2776582
2641093,2782241
2646291,2787896
2650850,2792172
2655379,2793116
2676136,2799847
2681386,2810014
2695483,2815022
2708070,2853479
2714100,2865472
2717413,2880145
2723315,2888691
2724523,2892391
2725625,2922559
2742383,2950661
2750096,2975979
2751347,2978690
2751372,2983999
2759282,2996441
2793460,3013384
2800712,3025365
2804683,3057797
2806011,3087280
2808743,3087420
2818654,3093260
2824508,3094674
2828324,3102822
2833730,3122364
2840057,3130204
2848715,3134949
2856376,3176954
2857894,3188905
2869267,3234892
2889465,3264327
2899545,3265968
2906071,3297396
2912341,3325734
2924806,3330367
2931353,3369663
2939026,3378792
2941244,3380014
2945223,3413583
2961793,3415858
2974107,3448151
2981554,3453837
3005929,3466768
3008805,3485836
3016372,3518264
3034372,3521892
3038439,3530208
3076813,3540416
3095384,3609750
3141818,3610546
3144944,3636302
3156073,3674111
3164039,3720135
3170849,3723556
3249068,3746540
3251751,3747436
3261065,3757045
3263752,3768975
3283962,3805821
3395108,3809006
3405648,3812171
3434403,3846891
3444549,3887674
3477463,3895613
3580587,3918697
3595143,4034805
3646288,4053362
3680862,4059649
3735516,4071818
3752292,4136915
3788358,4138141
3832949,4170056
3888317,4218302
3912682,4321457
3954202,4355025
3987343,4485176
4004616,4528119
4008361,4667746
4056151,4815719
4063925,4858068
4102236,4864454
4143116,4917095
4155901,4942436
4348745,4983246
4378319,4994639
4498784,5003274
4532471,5015373
4582921,5073085
4675482,5150969
4803035,5642005
5099974,5653472
5638641,5676169
5668817,5834570
6359873,5971239
7641373,6012419
9277547,6318710
10374099,6327927
10454166,6896577
11480764,7086755
13140438,7375437
13287571,8412186
17350649,13905388
